"filename", "language", "CSS", "JavaScript", "source.markdown.math", "JSON", "TypeScript", "HTML", "YAML", "comment", "blank", "total"
"d:\Programming\BlueberryTech\Data\CSS\mainPage.css", "CSS", 108, 0, 0, 0, 0, 0, 0, 33, 8, 149
"d:\Programming\BlueberryTech\Data\Scripts\WelcomeText.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 16
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\.codeclimate.yml", "YAML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 31
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\.esdoc.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\.eslintrc.yml", "YAML", 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\.github\CONTRIBUTING.md", "source.markdown.math", 0, 0, 30, 0, 0, 0, 0, 0, 15, 45
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\.github\ISSUE_TEMPLATE.md", "source.markdown.math", 0, 0, 17, 0, 0, 0, 0, 0, 11, 28
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\.github\PULL_REQUEST_TEMPLATE.md", "source.markdown.math", 0, 0, 22, 0, 0, 0, 0, 0, 17, 39
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\.prettierrc", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\.travis.yml", "YAML", 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\CODE_OF_CONDUCT.md", "source.markdown.math", 0, 0, 28, 0, 0, 0, 0, 0, 19, 47
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\README.md", "source.markdown.math", 0, 0, 244, 0, 0, 0, 0, 0, 84, 328
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\app.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\assets\demos.css", "CSS", 51, 0, 0, 0, 0, 0, 0, 0, 11, 62
"d:\Programming\BlueberryTech\Data\Scripts\typed.js-2.0.12\assets\demos.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 9, 134
